ID,Artigo,Ano,Score Total,Fonte,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Quem extraiu,Autores,País,Afiliação,Veículo de Publicação,Tipo ,"Quais são as contribuições da Engenharia de Software (ES) em estudos de IA ou ML (técnicas, processos, ferramentas, métricas)?",Atividade de Engenharia de Software,Quais são as técnicas de IA gen exploradas em estudos de ES?,"Quais são os Modelos de Aprendizado de Máquina (MLMs), Modelos de Aprendizado de Máquina (SLMs), prompts e arquiteturas explorados em IA gen para estudos de ES?",Tipo do Modelo,Modelo de IA Generativa,Técnica utilizada,Tamanho do modelo (em parametros),	Acesso,Quais são as ferramentas que dão suporte à IA gen para estudos de ES?,Quais técnicas de avaliaçãoção são exploradas em IA gen para estudos de ES?,Métricas utilizadas,Benefícios em usar genAI para ES,Limitações de usar genAI para ES,Lacunas (oportunidades de pesquisa) para usar genAI para ES,Trabalhos Futuros indicados no artigo, Desafios de usar genAI para ES,Outros comentários,Trechos interessantes do artigo
A22,"Decoding ChatGPT: A taxonomy of existing research, current challenges, and possible future directions",2023,0.0,Scopus,,,,,,,,"Henrique da Rocha Lima -> Incluído E 
Heitor Dias -> Excluído  (Devido o fato do estudo não focar especificamente em aplicações de GenAI em ES, o estudo até menciona alguns pontos do chatGpt em ES, mas o estudo como um todo não se concentra na ES)","Sohail, Shahab Saquib
Farhat, Faiza
Himeur, Yassine
Nadeem, Mohammad
Madsen, Dag Øivind
Singh, Yashbir
Atalla, Shadi
Mansoor, Wathiq",India,"Department of Computer Science and Engineering, School of Engineering Sciences and Technology, Jamia Hamdard, New Delhi",Journal of King Saud University - Computer and Information Sciences,journal,"Técnicas e Ferramentas:
A Engenharia de Software (ES) fornece frameworks para correção automática de bugs, usando benchmarks como QuixBugs para comparar modelos como ChatGPT, Codex e CoCoNut. A engenharia de prompts tornou-se central para obter respostas eficazes em codificação, refatoração e requisitos, enquanto ferramentas de IA atuam como assistentes de código e apoio à depuração em tempo real.

Processos de Desenvolvimento:
A ES integra IA à gestão de arquitetura, auxiliando arquitetos na criação de roadmaps e sistemas orientados a serviços. Também permite a automação de etapas do ciclo de vida, como geração de APIs, elicitação de requisitos, testes, deployment e desacoplamento de bibliotecas.

Métricas e Avaliação:
Benchmarks rigorosos avaliam funcionalidade, segurança e eficiência do código gerado por IA. Além disso, métricas de qualidade medem melhorias em padrões de design, legibilidade e manutenibilidade após refatoração automática.",Construção/Codificação,"Aprendizado e Ajuste (Fine-Tuning):
Incluem técnicas como fine-tuning para adaptar modelos a domínios específicos, aprendizado zero-shot para resolver novas tarefas sem treino adicional e RLHF para alinhar respostas às preferências humanas em diálogos técnicos.

Engenharia de Prompts:
Considerada uma dimensão emergente da ES, envolve o design de instruções eficazes, o uso de dicas contextuais e o desenvolvimento de padrões de prompt para melhorar código, requisitos e design.

Aplicações Técnicas no Ciclo de Vida:
As técnicas são aplicadas à correção automática de bugs, automação de arquitetura e geração de especificações, integrando IA a diversas etapas do desenvolvimento de software.","Modelos Explorados:
Os estudos analisam LLMs como a série GPT (do GPT-1 ao GPT-4), com destaque para o ChatGPT na geração de código e automação de tarefas de ES. Também incluem o Codex, especializado em código, o CoCoNut para correção automática de bugs e modelos como BERT e RoBERTa para tarefas específicas de classificação e análise, onde superam modelos generativos em alguns cenários.

Modelos Menores (SLMs):
Além dos LLMs, são discutidos modelos menores ou mais especializados, como o GPT-1 e modelos voltados a tarefas específicas (ex.: RoBERTa), considerados mais eficientes em contextos restritos do que modelos generalistas.

Arquiteturas:
A arquitetura predominante é o Transformer, com encoder-decoder, mecanismo de atenção, tokenizer e camada softmax, permitindo processamento eficiente de textos longos e geração coerente de código e requisitos.

Prompts e Engenharia de Prompts:
A engenharia de prompts é tratada como essencial, incluindo catálogos de padrões de prompt, uso de dicas","LLM, SLM","GPT-x, outros",prompt engineering,,comercial,"ChatGPT, Codex e CoCoNut são usados como assistentes de código e para correção automática de bugs, enquanto BERT e RoBERTa servem como modelos comparativos em tarefas específicas.

QuixBugs é um benchmark padrão para avaliar correção de bugs, e ferramentas como DetectGPT ajudam a identificar conteúdos gerados por IA.

Frameworks de engenharia de prompts permitem automatizar partes do desenvolvimento, como criação de APIs, testes e deploy, e tecnologias multimodais ampliam essas capacidades com visão e voz.","QuixBugs é o principal benchmark usado para avaliar correção automática de bugs, e o desempenho da IA é comparado com ferramentas como Codex e CoCoNut, mostrando resultados semelhantes ou superiores.

A validação também envolve revisores humanos cegos e feedback dos usuários via RLHF, além da observação de arquitetos para avaliar decisões de design feitas pela IA.

Métricas como detecção de plágio, DetectGPT e perplexidade são usadas para avaliar originalidade e identificar conteúdos gerados por IA.

Por fim, avalia-se a capacidade da IA de explicar seu raciocínio e tornar suas decisões mais transparentes por meio de explicações lógicas e visualizações.","coerência, correção funcional, precisão, produtividade, qualidade, redução de esforço, segurança","Aumenta produtividade, automatiza correção de bugs, apoia iniciantes, auxilia na gestão de arquitetura e automatiza subprocessos como APIs, requisitos, testes e deploy.","Pode alucinar, ter dificuldade em tarefas complexas, gerar respostas inconsistentes e usar dados desatualizados.","Necessidade de detectar conteúdo gerado por IA, melhorar raciocínio lógico e ajustar modelos para domínios específicos.","Integração multimodal, personalização, incorporação de aspectos humanos (emoção/empatia) e treinamento contínuo.","Questões éticas e de propriedade intelectual, sobredependência dos desenvolvedores e falta de explicabilidade.",Engenharia de prompts e colaboração humano-IA são vistas como essenciais para uso seguro e eficaz.,"O ChatGPT tem desempenho comparável ou superior em correção de bugs, pode auxiliar fortemente arquitetos e demonstra forte capacidade zero-shot."
A23,Effectiveness of Generative Artificial Intelligence for Scientific Content Analysis,2023,0.5,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Partially attended to,Not attended to,Not attended to,"Ana Karolina (EXCLUÍDO: EC4- Does not address GenAI for SE activities)
Filipe Campos (EXCLUÍDO: EC1: Full text not available for free on the Web or on the CAPES Periódicos plataform)","Moritz Platt, Daniel Platt",Reino Unido,"King’s College London, UK","17th IEEE International Conference on Application of Information and Communication Technologies, AICT 2023 - Proceedings",conference,,,,,,,,,,,,,,,,,,,"""As the goal of the experiments was to generate results that reflected the level of sophistication of laypeople in AI technology, advanced techniques, such as fine tuning or improving data quality through optimization of the input text, were omitted."""
A24,Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,2023,5.0,Scopus,Partially attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,"Leonardo Lima e Silva
Jeniffer","Parikh, Nishant Ashokkumar",Estados Unidos,Capitol Technology University,"arXiv / Transformational Interventions for Business, Technology, and Healthcare",arxiv,"O estudo aponta que a IA generativa contribui para a ER através da automação da elicitação e análise de requisitos, gerando declarações de requisitos em linguagem natural a partir de dados estruturados. Também auxilia na detecção automática de conflitos em documentos de Especificação de Requisitos de Software (SRS) utilizando embeddings de sentenças e apoia a escrita e manutenção de documentação de software.","Construção/Codificação, Design, Gestão de projeto, Requisitos","As técnicas incluem geração automática de código , análise de feedback de clientes para extração de insights , geração de ideias (brainstorming) , incorporação de sentenças baseada em transformadores para detecção de conflitos e estimativa de pontos de história ágil via processamento de linguagem natural.","O artigo explora arquiteturas baseadas em Transformers , Redes Adversariais Generativas (GANs) e Autoencoders Variacionais (VAE). Modelos específicos mencionados incluem GPT-3 , GPT-2 , GPT-NEO-125M e GPT-NEO-1.3B , Codex , ALSI-Transformer , DALL-E2 e Google Bard.","LLM, multimodal","GPT-x, outros","outros, prompt engineering",125000000.0,"comercial, open source","As ferramentas mencionadas incluem GitHub Copilot, OpenAI ChatGPT, OpenAI DALL-E2, Google Bard e ferramentas experimentais como GPT2SP e ALSI-Transformer.","As técnicas de avaliação incluem métricas quantitativas como F1-score, pontuação BLEU , similaridade de cosseno e curvas ROC. Também foram utilizados experimentos para medir o aumento percentual de produtividade (velocidade na conclusão de tarefas) e precisão das estimativas de esforço em comparação com métodos tradicionais.","coerência, custo, outros, precisão, produtividade, qualidade","Redução significativa no tempo e custo de desenvolvimento; aumento da produtividade (ex: tarefas de codificação concluídas 55,8% mais rápido); melhoria na qualidade dos resultados do produto e experiências do usuário final; suporte a trabalhadores menos experientes, nivelando o desempenho; e automação de tarefas tediosas como documentação e análise de feedback.","A precisão e confiabilidade continuam sendo problemas, com riscos de ""alucinações"" (geração de informações incorretas); a natureza de ""caixa preta"" dos modelos limita a interpretabilidade e confiança e a dependência de dados de treinamento de qualidade pode propagar vieses.","Há uma lacuna na compreensão holística do impacto da IA generativa nos negócios e na gestão de produtos para além dos benefícios técnicos. A relação entre serviços de GenAI, engajamento do cliente e lealdade requer mais pesquisas.",Desenvolver modelos de IA generativa mais avançados e específicos para processos de gestão de produtos ; integrar IA com metodologias Ágeis de forma transparente ; criar assistentes de IA personalizados para gerentes de produto ; e avaliar o impacto de longo prazo nos fluxos de trabalho em termos de eficiência e custo.,"Considerações éticas como viés (bias), transparência e responsabilidade ; privacidade de dados e conformidade com regulamentações como GDPR ; riscos legais relacionados a direitos de propriedade intelectual e copyright de conteúdo gerado por IA ; e a necessidade de novas habilidades, como engenharia de prompt.","O artigo é uma revisão sistemática da literatura cobrindo publicações de 2016 a 2023 , utilizando o framework ISPMA para estruturar as aplicações de GenAI na gestão de produtos.","""The study shows that technology can assist in idea generation, market research, customer insights, product requirements engineering, and product development.""; ""Copilot group completed tasks 55.8% faster, marking the first experiment of its kind to provide empirical evidence of the potential of AI tools to enhance human productivity.""; ""However, the technology's accuracy, reliability, and ethical consideration persist."""
A25,Enhancing Software Requirements Engineering with Language Models and Prompting Techniques: Insights from the Current Research and Future Directions,2025,4.0,Scopus,Fully attended to,Partially attended to,Not attended to,Fully attended to,Fully attended to,Not attended to,Partially attended to,"Leonardo Lima e Silva
Jeniffer","Moemen Ebrahim, Shawkat Guirguis e Christine Basta.",Egito,"Institute of Graduate Studies and Research; Faculty of Computers and Data Science, Alexandria University.",Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 4: Student Research Workshop).,conference,"O artigo foca na aplicação de IA para a ER, e não o inverso. Contudo, contribui com um framework conceitual que integra Small Language Models (SLMs) e Knowledge-Augmented LMs (KALMs) com LangChain para sistematizar tarefas de ER. Além disso, estabelece diretrizes de engenharia de prompt baseadas em evidências (Contexto, Linguagem, Exemplos, Palavras-chave) específicas para melhorar a confiabilidade na geração de requisitos.",Requisitos,"O estudo explora o uso de Retrieval-Augmented Generation (RAG) para mitigar lacunas de domínio , o uso de Small Language Models (SLMs) para processamento local eficiente , e a orquestração de fluxos de trabalho via LangChain. Também são exploradas técnicas avançadas de prompt, como Chain-of-Verification (CoVe), Chain-of-Knowledge (CoK) e Chain-of-Thought (CoT).","Modelos: O texto menciona GPT-3 e GPT-4 , Llama , TinyLlama e MiniCPM.
Arquiteturas: Transformers , arquitetura modular via LangChain.
Prompts: Zero-shot, Chain-of-Thought (CoT), Chain-of-Verification (CoVe), Contrastive Chain-of-Thought (CCOT), Active Prompting, Automatic Prompt Engineer (APE), Take Step Back (TSB), Rephrase and Respond (RaR) e Chain of Knowledge (CoK).","LLM, SLM","GPT-x, Llama, TinyLlama","RAG, chain of thought, outros, prompt engineering",7000000000.0,"comercial, open source",A principal ferramenta discutida para suporte e orquestração é o LangChain. Ferramentas comerciais como GitHub Copilot e ChatGPT são mencionadas como aplicações práticas existentes.,"INCONCLUSIVO. O artigo afirma que a avaliação de LLMs em ER enfrenta desafios metodológicos devido à falta de datasets padronizados e métricas quantitativas estabelecidas. O framework proposto é teórico e explicitamente evita validação empírica neste estágio. Futuramente, sugere-se avaliação por especialistas.",,"Automação da elicitação de requisitos, detecção de ambiguidade e geração de especificações. Potencial para economia de custos, maior produtividade e melhor gerenciamento de projetos. Redução de erros humanos na documentação. Capacidade de simular papéis de usuários e analisar a qualidade dos requisitos.",Alucinações factuais e saídas não confiáveis. Ignorância do domínio e falta de consciência contextual sobre políticas organizacionais. Altos custos computacionais e operacionais para treinamento e inferência. Riscos de segurança e privacidade de dados. Sensibilidade extrema a variações no fraseado do prompt. Incapacidade de realizar raciocínio dedutivo rigoroso comparável a métodos formais.,"Falta de experimentação com datasets dedicados para tarefas de Engenharia de Requisitos. Ausência de datasets de referência padronizados com ""ground truth"" validado por especialistas. Falta de métricas quantitativas estabelecidas para medir objetivamente a qualidade da saída além do julgamento subjetivo.",Expandir a base de conhecimento dos KALMs para cobrir subdomínios adicionais de ER. Desenvolver templates de prompt padronizados para casos de uso específicos da indústria. Otimizar o pipeline de auto-prompting para fluxos de trabalho complexos de ER. Propor avaliação comparativa de soluções. Validação empírica e implementação técnica do framework proposto.,Riscos de Segurança e Privacidade (TL1). Qualidade e Formatação de Saída Não Confiáveis (TL2). Lacunas de Compreensão de Contexto e Domínio (TL3). Custos Computacionais e Operacionais (TL4). Desafios de Engenharia de Prompt (TL5). Limitações de Raciocínio e Análise (TL6).,"Este trabalho é estritamente uma revisão sistemática seguida de uma proposta de framework conceitual; ele não apresenta uma implementação prática (""proof of concept"") nem dados experimentais. O framework sugere o uso de SLMs para contornar custos e problemas de privacidade, enquanto usa RAG (KALMs) para resolver a falta de conhecimento de domínio.","""Incomplete or ambiguous requirements result in 28% of software defects as per (Mogyorodi, 2021)."" ""This paper proposes a conceptual framework that integrates Small Language Models (SLMs) and Knowledge-Augmented LMs (KALMs) with LangChain to address these limitations systematically."" ""We identify and categorize six technical challenges and two research gaps through a systematic review of LLM applications in SRE."" ""SLMs democratize NLP by reducing costs, lowering resource demands, and allowing faster experimentation for specialized applications."""
A26,Exploring the role of generative AI in enhancing cybersecurity in software development life cycle,2025,0.0,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27,Generating and Reviewing Programming Codes with Large Language Models: A Systematic Mapping Study,2024,6.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Jeniffer e Leonardo,"Beatriz Ventorini Lins de Albuquerque, Antonio Fernando Souza da Cunha, Leonardo Souza, Sean Wolfgand Matsui Siqueira, Rodrigo Pereira dos Santos","Brasil (com colaborações internacionais citadas nos estudos mapeados: Tailândia, Japão, EUA, Bangladesh, Islândia, Suíça, Canadá, Reino Unido, Austrália, China, Holanda, Índia, Itália, Rússia)",Universidade Federal do Estado do Rio de Janeiro (UNIRIO) e Petrobras,Brazilian Symposium on Information Systems (SBSI '24),conference,"Contribui com um Mapeamento Sistemático da Literatura (MSL) que identifica modelos, estratégias de utilização, desafios e mecanismos de enfrentamento. Ele aplica a teoria Task-Technology Fit (TTF) para entender como as características dos LLMs se ajustam às tarefas de codificação.","Construção/Codificação, Design, Manutenção, Requisitos, Testes","Zero-shot prompting, Transfer Learning, Tokenização, Engenharia de Prompts, Cadeia de Pensamento (implícito em estratégias de raciocínio de modelos como AlphaCode).","GPT-x (ChatGPT, OpenAI Codex), Llama, GitHub Copilot (baseado em Codex), AlphaCode, CodeGen, InCoder, CodeGPT, GPT-Neo, StarCoder (citado como base), UniXcoder. Outros: BERT, CodeBERT, GraphCodeBERT (modelos baseados em Transformer para representação).","LLM, SLM, outro","GPT-x, Llama, outros","outros, prompt engineering",7000000000.0,"comercial, open source","GitHub Copilot, Microsoft Visual Studio IntelliCode, AlphaCode, NLI-GSC (ferramenta autoral), MultiPL-E (framework de benchmark).","Comparação empírica com humanos, benchmarks polyglot (MultiPL-E), análise estática de código, testes funcionais e métricas de PLN.","correção funcional, precisão, produtividade, qualidade, redução de esforço, segurança","Aumento da produtividade, automação de tarefas complexas, suporte a programadores iniciantes e otimização do ciclo de vida de desenvolvimento.","Qualidade inconsistente do código, geração de ""code smells"", dependência de dados de treinamento que podem conter plágio ou licenças restritivas.","Falta de evidências quantitativas para linguagens além de Python, necessidade de melhores métricas de avaliação que não sejam apenas de PLN, e integração de estrutura sintática no pré-treinamento.","Investigar o reparo automático de falhas de segurança, desenvolver ferramentas independentes de linguagem e aprimorar a robustez dos geradores baseados em Deep Learning.","Robustez (gerar códigos diferentes para prompts similares), interpretabilidade dos modelos e questões éticas/legais (licenciamento).","O artigo destaca que, embora a IA seja poderosa, a intervenção humana e o uso de analisadores estáticos (linters) continuam sendo essenciais para garantir a qualidade final do software. O estudo é muito recente (2024), refletindo o estado da arte da integração de LLMs na Engenharia de Software brasileira.","""A utilização de LLM pode ampliar significativamente essa otimização das tarefas de desenvolvimento de código e possibilitar a automação de tarefas mais complexas.""
""Padrões de código ruins podem vazar para a saída dos modelos geradores de código, incluindo problemas de código de segurança."""
A28,Generative AI for Requirements Engineering: A Systematic Literature Review,2025,0.0,Scopus,,,,,,,,,"Haowei Cheng, Jati H. Husen, Yijun Lu, Teeradaj Racharak, Nobukazu Yoshioka, Naoyasu Ubayashi, Hironori Washizaki",Japão e Indonésia,"Waseda University, Tokyo, Japan; Telkom University, Jawa Barat, Indonesia; Advanced Institute of So‐Go‐Chi (Convergence Knowledge) Informatics, Tohoku University, Miyagi, Japan; apan Advanced Institute of Science and Technology (JAIST), Ishikawa, Japan.",Wiley Online Library,journal,,Requisitos,,,,,,,,,,,,,,,,,
A29,"Generative Artificial Intelligence and Large Language Models: A Systematic Review of Architectures, Applications, and Future Directions",2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,"Heitor e Henrique da Rocha Lima - Excluído (O estudo traz um foco em IA generativa, mas não trabalha muito com a aplicação prática nas áreas de Engenharia de Software)",Bogdan-Iulian Ciubotaru,Romania,"Military Equipment and Technologies Research Agency (METRA), Ministry of National Defence Clinceni, Romania",25th International Conference on Control Systems and Computer Science (CSCS),,,,,,,,,,,,,,,,,,,,
A30,Generative Artificial Intelligence in Agile Software Development Processes: A Literature Review Focused on User eXperience,2025,5.5,Scopus,Fully attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Brenno,"Cornide-Reyes, Héctor C. C. and Monsalves, Diego and Durán, Eduardo and Silva-Aravena, Fabian and Morales, Jenny D.",Chile,"Facultad de Ingeniería, Departamento de Ingeniería Informática y Ciencias de la Computación
Facultad de Ciencias Sociales y Económicas, Departamento de Economía y Administración
Escuela de Ingeniería Informática",Springer,journal,"Descrito no artigo, será analisado a metodologia ágil de desenvolvimento de software e será focado na parte de design do software, mais precisamente na parte de UX. a partir dessa metodologia foi analisado qual área desse método se beneficia mais com a integração com GenAI , mostrando que a principal contribuição está no ciclo de vida do software. Além disso, foi citada a área de transformação de necessidades em requisitos.","Arquitetura, Construção/Codificação, Design, Requisitos, Testes","Geração automática de código a partir de linguagem natural, geração de casos teste, prototipagem de interface de usuário, geração de documentação e geração de histórias de usuários","foca em ChatGPT , GitHub Copilot , Tabnine, Cypress Copilot, mas cita outras LLMs de maneira generica",LLM,"GPT-x, outros","multiagent, outros",,comercial,"ChatGPT, GitHub Copilot, Tabnine e Cypress copilot","foram utilizadas técnicas de revisão literária, metodologia PICOC, estudos de casos e pesquisa","carga cognitiva, coerência, custo, precisão, produtividade, qualidade, redução de esforço, segurança","Aumento da eficiência através da automação de tarefas repetitivas, análises preditivas e documentação em tempo real, geração de historias de usuário, definição de prioridade de tarefas com base em requisitos de linguagem natural, automação de escrita e revisão de código (redução da carga de trabalho das equipes), geração de casos teste e detecção precoce de erros. Na fase de manutenção se destaca a usabilidade como auxiliar para a escalabilidade do software e ajuda a analisar métricas de desempenho.","Necessidade de estabelecer estratégias bem definidas para minimizar outras limitações como os riscos da qualidade dos dados, a segurança do código e a transparência do modelo utilizado","Foi notado uma lacuna na compreensão da aplicação da GenAI e seus impactos em algumas áreas críticas do Agile, como planejamento, manutenção e retrospectiva","1- Necessidade de uma avaliação empírica mais aprofundada para avaliar o impacto da GenAI na produtuvidade de equipes ágeis e na qualidade do software.
2- Analisar como as metodologias podem ser adaptadas para maximizar os benefícios da GenAI
3- Metodologias para garantir a ética e uso transparente da GenAI em processos ágeis e estratégias para mitigar riscos","Alguns desafios são mencionados como persistentes em usar GenAI, como a necessidade de confiabilidade nos modelos produzidos pela IA, a interpretabilidade dos seus resultados e as considerações de suas aplicações éticas. Além disso, cita-se o fato de muitas vezes a Ia escrever código com erros ou bugs, mostrando uma necessidade de integrar processos de validação, dependem muito da qualidade do banco de dados. Para as equipes, foi destacado a falta de treinamento técnico e a resistência a adesão da GenAI","O estudo focou bastante em uma metodologia, ágile, mostrando seus pontos fortes e fracos de interseção com GenAI, o que desperta a curiosidade de saber como cada método funcionaria com essa parceria ou se não haveria tanta diferença.",
A31,How Well Small Language Models Can Be Adapted for Software Maintenance and Refactoring Tasks,2026,0.0,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A32,How reliance on GenAI might limit human creativity and critical thinking in Requirements Engineering,2025,0.0,Scopus,,,,,,,,Henrique da Rocha Lima E Heitor Dias - Excluido: texto completo indisponivel,"Cabrero-Daniel, Beatriz",Sweden,"Department of Computer Science and Engineering, Chalmers University of Technology, University of Gothenburg, Gothenburg, SE-41296,",CEUR Workshop Proceedings,conference,,,,,,,,,,,,,,,,,,,
A33,Impact of Artificial Intelligence on Open-Source Software Development,2025,3.0,Scopus,Fully attended to,Not attended to,Not attended to,Partially attended to,Partially attended to,Partially attended to,Partially attended to,Ana Karolina e Filipe Campos,"Vinod Kumar Ahuja, Jeremy Clark, Joshua Wurtenberg.",Estados Unidos,"Dept. of Computing & Software Engineering Florida Gulf Coast University Fort Myers, FL, USA","Proceedings of the International Florida Artificial Intelligence Research Society Conference, FLAIRS",conference,"O artigo apresenta uma revisão sistemática de literatura sobre os impactos da IA no desenvolvimento de Software de código aberto
;
Os resultados revelaram três áreas em que a IA está impactando o código aberto: criação e inovação de projetos, eficiência e gestão de desenvolvimento, e qualidade, segurança e ética.","Construção/Codificação, Gestão de projeto, Manutenção, Operações/DevOps, Testes","O artigo traz uma visão muito ampla sem focar especificamente nos resultados encontrados nos artigos analisados, o que acaba se traduzindo mais em tendencias atuais e futuras para o uso da IA no desenvolvimento de software de código aberto
;
Não se aplica.","Não são especificados modelos, técnicas, métodos, o artigo é bem superficial quanto aos resultados das analises dos artigos
;
Não se aplica",,,,,,";
Não se aplica.",";
Não se aplica.","produtividade, qualidade","O artigo traz essa visão em como a IA está beneficiando o desenvolvimento de software desde automação de atividades repetitivas, geração e complementação de código, detecção e análise de bugs, influencia direta como redução de custos pelo alto poder de criação de código da IA.
;
Várias ferramentas baseadas em IA, como geradores de código, detectores de bugs e ferramentas de gerenciamento de projetos com IA, estão reduzindo as contribuições manuais dos voluntários, otimizando os fluxos de trabalho de desenvolvimento e apoiando as colaborações. A IA também deixou mais acessível o trabalho de construir códigos, trazendo para dentro dessa área outras perspectivas, antes, abandonadas. 
As ferramentas de IA estão acelerando dramaticamente os ciclos de desenvolvimento de código aberto por meio de automação que antes era inimaginável, de maneira que tarefas que exigiam muitos recursos agora podem ser realizados com muito menos.
As tarefas relacionadas ao gerenciamento de projeto também foram f","O artigo discorre o fato de como a ampla adoção da IA ​​introduz preocupações éticas, incluindo questões de viés, privacidade e potencial uso indevido, sendo necessário a abordagem de práticas de desenvolvimento e uso responsável e ético dento das comunidades de desenvolvimento de software de código aberto.
;
Não se aplica.","Os autores discorrem que uma possível lacuna é o protocolo de buscas ter incluído apenas artigos escritos em inglês e ampliar esse critérios para outros idiomas poderia enriquecer os achados e consecutivamente as discussões dos resultados, o mesmo ocorre para o critério de incluir apenas artigos publicados em periódicos e revisados em pares, que outras fontes poderiam enriquecer as conclusões.
;
Não se aplica.",";
Mesmo com esse estudo a aplicação de IA à projetos open-source não é explorada suficientemente.
Estudos longitudinais examinando a evolução da integração de IA e OSS ao longo do tempo. Investigações empíricas sobre como a IA afeta a diversidade, inclusão e estruturas de governança dos contribuintes em comunidades OSS.Implicações éticas do uso da IA em OSS, especialmente em relação a viés, transparência e justiça. Análises comparativas entre metodologias de desenvolvimento OSS baseadas em IA e tradicionais. Investigar a relação recíproca entre OSS e IA—especificamente como os princípios de código aberto influenciam práticas de desenvolvimento de IA—contribuiria para um entendimento mais holístico desse dinâmico ecossistema tecnológico.",";
desafios relacionados à transparência do software, confiabilidade e o papel da supervisão humana no desenvolvimento assistido por IA.
Evidências apontam que a IA pode, inadvertidamente, limitar a inclusão de desenvolvedores, possivelmente devido à natureza corporativa de muitos modelos de IA.
A adoção generalizada da IA introduz preocupações éticas, incluindo questões de viés, privacidade e uso indevido potencial","Esse estudo tem como conteúdo como a IA afeta o desenvolvimento de código aberto, não explicitando um modelo em específico ou técnicas usadas, mas sim as consequências. Acredito que tenha sido uma revisão apenas para trazer uma visão ampla sobre o tema, o foco não foi em técnicas e nem em uma distribuição longitudinal do avanço do uso da IA em OSS, os autores trouxeram uma visão geral sobre áreas da OSS que estão usando IA e preocupações e benefícios do seu uso.",";
""The ubiquitous inclusion of AI has made the lack of software knowledge andskills more apparent, making it necessary for communities to address industry pain ppoints, such as filling skill gaps [6, 23], removing reliability concerns [33], and even fulfilling cloud computing needs and creating new operating systems to support AI [9]""
""A central takeaway from this study is the surge in new open-source projects, which address both the challenges and opportunities created by AI"""
A34,Impacts of the Usage of Generative Artificial Intelligence on Software Development Process,2024,5.5,Scopus,Fully attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,"Ana Karolina (EXCLÚIDO: EC2- Not Written in english)
Filipe Campos (EXCLÚIDO: EC2- Not Written in english)","Patrícia de Oliveira Santos, Allan Chamon, Pedro Nuno de Souza Moura, Bruna Diirr, Adriana Cesario de Faria Alvim, Rodrigo Pereira dos Santos",Brasil,Universidade Federal do Estado do Rio de Janeiro (UNIRIO),ACM International Conference Proceeding Series,conference,O artigo contribui para a Engenharia de Software ao analisar artigos que envolvam o uso da IA generativa em atividades do processo de desenvolvimento de software. As contribuições incluem: evidência empírica do uso real de GenAI no processo de ES e identificação de atividades mais impactadas pela IA generativa.,"Arquitetura, Construção/Codificação, Requisitos, Testes","O trabalho ressalta os achados através do mapeamento sistemático de literatura e dentro dos artigos analisados são destacadas as técnicas de IA que foram evidenciadas nos trabalhos que auxiliam certas atividades da Engenharia de Software como: algoritmos de ML e um modelo de LLM não especificado que podem auxiliar em atividades de analise de requisitos, arquitetura de software, codificação e testes.","O MSL cita o ChatGPT (modelos 3 e 4), o GitHub copilot, um chatbot não especificado e o Codex.",LLM,"GPT-x, outros",prompt engineering,,comercial,ChatGPT e GitHub,Não foram apresentadas técnicas de avalição,,"Os benefícios possíveis de serem identificados no artigo são: Melhoria da produtividade com o uso da IA, facilitação do processo de codificação e auxilio em tarefas repetitivas tanto na parte de codificação quanto em arquitetura.","As limitações são mais evidentes em preocupações sobre o quanto os profissionais podem confiar no produto da analise da IA como se o código é seguro ou não, se a resposta não é uma alucinação e estudos que tratam sobre produtividade não apresentarem dados quantitativos para enriquecer a análise, além disso os trabalhos encontrados se limitaram a poucas áreas da ES sendo a maioria para a área da codificação.","As oportunidades de pesquisa residem em justamente abranger outras áreas da ES no processo de inserção da IA em suas atividades, como evidenciado pelo MSL a maioria dos trabalhos estão focado na área de codificação e teste, ficando as outras áreas da ES pouco ou ainda não exploradas.","Como trabalho futuro os autores citam que poderá ser realizado um mapeamento mais abrangente contemplando outras bases acadêmicas
e outras atividades do processo de desenvolvimento, contemplando também as atividades das etapas de Operação e a Manutenção do
processo de desenvolvimento.","O maior desafio citado é na confiabilidade da resposta, sendo essencial o fator humano para validar a resposta da IA, essa confiabilidade também é refletida na codificação onde uma das preocupações é se o código gerado realmente é seguro.","O trabalho viola um dos critérios de exclusão (trabalho escrito em inglês) por si só ele já deveria ser excluído, com a análise do mesmo, não acredito que ele traga evidências que possam somar significativamente a ponto de abranger para o português esse critério, as informações apresentadas acabaram sendo mais do mesmo que já vimos em outros trabalhos.",
